Query Sequence ID,Subject sequence ID
TCONS_00000149,sp|P35749|MYH11_HUMAN
TCONS_00000088,sp|Q6PI97|CK088_HUMAN
TCONS_00000289,sp|Q93034|CUL5_HUMAN
TCONS_00000290,sp|Q93034|CUL5_HUMAN
TCONS_00000154,sp|Q8IXU6|S35F2_HUMAN
TCONS_00000156,sp|P54105|ICLN_HUMAN
TCONS_00000157,sp|P54105|ICLN_HUMAN
TCONS_00000160,sp|P54105|ICLN_HUMAN
TCONS_00000292,sp|Q8NBQ7|AQP11_HUMAN
TCONS_00000161,sp|Q13153|PAK1_HUMAN
TCONS_00000164,sp|Q13153|PAK1_HUMAN
TCONS_00000165,sp|Q13153|PAK1_HUMAN
TCONS_00000167,sp|Q13153|PAK1_HUMAN
TCONS_00000169,sp|Q8WTR4|GDPD5_HUMAN
TCONS_00000296,sp|Q13402|MYO7A_HUMAN
TCONS_00000304,sp|Q13402|MYO7A_HUMAN
TCONS_00000305,sp|Q07352|TISB_HUMAN
TCONS_00000308,sp|P62820|RAB1A_HUMAN
TCONS_00000170,sp|Q9H0U4|RAB1B_HUMAN
TCONS_00000171,sp|P23396|RS3_HUMAN
TCONS_00000173,sp|Q9BQ13|KCD14_HUMAN
TCONS_00000310,sp|Q00889|PSG6_HUMAN
TCONS_00000176,sp|Q96HW7|INT4_HUMAN
TCONS_00000178,sp|Q96HW7|INT4_HUMAN
TCONS_00000311,sp|Q9H7C9|AAMDC_HUMAN
TCONS_00000179,sp|Q9NQT4|EXOS5_HUMAN
TCONS_00000181,sp|Q9NQT4|EXOS5_HUMAN
TCONS_00000333,sp|Q9H7V2|SYNG1_HUMAN
TCONS_00000338,sp|Q8WUF5|IASPP_HUMAN
TCONS_00000183,sp|Q9BUJ2|HNRL1_HUMAN
TCONS_00000184,sp|Q9BUJ2|HNRL1_HUMAN
TCONS_00000188,sp|Q9BUJ2|HNRL1_HUMAN
TCONS_00000191,sp|Q9H6K4|OPA3_HUMAN
TCONS_00000339,sp|O95267|GRP1_HUMAN
TCONS_00000340,sp|O95267|GRP1_HUMAN
TCONS_00000342,sp|O95267|GRP1_HUMAN
TCONS_00000197,sp|P21817|RYR1_HUMAN
TCONS_00000200,sp|P21817|RYR1_HUMAN
TCONS_00000202,sp|P21817|RYR1_HUMAN
TCONS_00000203,sp|P21817|RYR1_HUMAN
TCONS_00000204,sp|P21817|RYR1_HUMAN
TCONS_00000210,sp|P21817|RYR1_HUMAN
TCONS_00000211,sp|P21817|RYR1_HUMAN
TCONS_00000221,sp|P21817|RYR1_HUMAN
TCONS_00000222,sp|P21817|RYR1_HUMAN
TCONS_00000227,sp|P21817|RYR1_HUMAN
TCONS_00000233,sp|P56470|LEG4_HUMAN
TCONS_00000235,sp|P56470|LEG4_HUMAN
TCONS_00000236,sp|P56470|LEG4_HUMAN
TCONS_00000237,sp|P56470|LEG4_HUMAN
TCONS_00000344,sp|P30530|UFO_HUMAN
TCONS_00000345,sp|P30530|UFO_HUMAN
TCONS_00000239,sp|Q86UW7|CAPS2_HUMAN
TCONS_00000240,sp|Q16696|CP2AD_HUMAN
TCONS_00000241,sp|Q16696|CP2AD_HUMAN
TCONS_00000350,sp|Q00532|CDKL1_HUMAN
TCONS_00000354,sp|Q00532|CDKL1_HUMAN
TCONS_00000355,sp|Q00532|CDKL1_HUMAN
TCONS_00000360,sp|Q00532|CDKL1_HUMAN
TCONS_00000242,sp|P01137|TGFB1_HUMAN
TCONS_00000363,sp|P53041|PPP5_HUMAN
TCONS_00000244,sp|P53041|PPP5_HUMAN
TCONS_00000245,sp|Q8NA92|THAP8_HUMAN
TCONS_00000246,sp|Q8NA92|THAP8_HUMAN
TCONS_00000247,sp|Q8NA92|THAP8_HUMAN
TCONS_00000365,sp|O15551|CLD3_HUMAN
TCONS_00000367,sp|O15551|CLD3_HUMAN
TCONS_00000248,sp|O14493|CLD4_HUMAN
TCONS_00000369,sp|O14493|CLD4_HUMAN
TCONS_00000249,sp|O14493|CLD4_HUMAN
TCONS_00000371,sp|O14493|CLD4_HUMAN
TCONS_00000251,sp|O14493|CLD4_HUMAN
TCONS_00000252,sp|O14493|CLD4_HUMAN
TCONS_00000253,sp|O14493|CLD4_HUMAN
TCONS_00000372,sp|O14493|CLD4_HUMAN
TCONS_00000255,sp|O00501|CLD5_HUMAN
TCONS_00000373,sp|Q9Y3A5|SBDS_HUMAN
TCONS_00000257,sp|Q9NV66|TYW1_HUMAN
TCONS_00000259,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000260,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000261,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000262,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000263,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000264,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000265,sp|Q9BXU9|CABP8_HUMAN
TCONS_00000375,sp|Q6IS24|GLTL3_HUMAN
TCONS_00000378,sp|Q8TEB9|RHBL4_HUMAN
TCONS_00000379,sp|Q8TEB9|RHBL4_HUMAN
TCONS_00000267,sp|O00423|EMAL1_HUMAN
TCONS_00000273,sp|P46093|GPR4_HUMAN
TCONS_00000274,sp|P46093|GPR4_HUMAN
TCONS_00000275,sp|P46093|GPR4_HUMAN
TCONS_00000276,sp|P46093|GPR4_HUMAN
TCONS_00000277,sp|P51513|NOVA1_HUMAN
TCONS_00000278,sp|P51513|NOVA1_HUMAN
TCONS_00000280,sp|Q9UNW9|NOVA2_HUMAN
TCONS_00000384,sp|Q8IU81|I2BP1_HUMAN
TCONS_00000282,sp|Q7Z5L9|I2BP2_HUMAN
TCONS_00000286,sp|Q7Z5L9|I2BP2_HUMAN
TCONS_00000287,sp|P55317|FOXA1_HUMAN
TCONS_00000456,sp|Q9BW19|KIFC1_HUMAN
TCONS_00000458,sp|Q8TF68|ZN384_HUMAN
TCONS_00000460,sp|Q8TF68|ZN384_HUMAN
TCONS_00000462,sp|Q8TF68|ZN384_HUMAN
TCONS_00000464,sp|Q8TF68|ZN384_HUMAN
TCONS_00000465,sp|Q8TF68|ZN384_HUMAN
TCONS_00000467,sp|Q8TF68|ZN384_HUMAN
TCONS_00000477,sp|Q8TF68|ZN384_HUMAN
TCONS_00000481,sp|Q8TF68|ZN384_HUMAN
TCONS_00000482,sp|Q8TF68|ZN384_HUMAN
TCONS_00000488,sp|O75955|FLOT1_HUMAN
TCONS_00000388,sp|O95361|TRI16_HUMAN
TCONS_00000389,sp|O95361|TRI16_HUMAN
TCONS_00000390,sp|P07437|TBB5_HUMAN
TCONS_00000394,sp|Q9Y242|TCF19_HUMAN
TCONS_00000395,sp|Q9Y242|TCF19_HUMAN
TCONS_00000397,sp|Q92692|PVRL2_HUMAN
TCONS_00000398,sp|Q92692|PVRL2_HUMAN
TCONS_00000400,sp|Q92692|PVRL2_HUMAN
TCONS_00000404,sp|P13637|AT1A3_HUMAN
TCONS_00000405,sp|P09086|PO2F2_HUMAN
TCONS_00000407,sp|P09086|PO2F2_HUMAN
TCONS_00000409,sp|P09086|PO2F2_HUMAN
TCONS_00000412,sp|P50548|ERF_HUMAN
TCONS_00000424,sp|Q96RK0|CIC_HUMAN
TCONS_00000431,sp|P49841|GSK3B_HUMAN
TCONS_00000432,sp|P49841|GSK3B_HUMAN
TCONS_00000434,sp|P49841|GSK3B_HUMAN
TCONS_00000436,sp|Q9Y5V0|ZN706_HUMAN
TCONS_00000502,sp|Q7Z5Y6|BMP8A_HUMAN
TCONS_00000505,sp|P34820|BMP8B_HUMAN
TCONS_00000507,sp|Q7Z5Y6|BMP8A_HUMAN
TCONS_00000511,sp|Q7Z5Y6|BMP8A_HUMAN
TCONS_00000512,sp|Q03001|DYST_HUMAN
TCONS_00000513,sp|Q03001|DYST_HUMAN
TCONS_00000514,sp|Q03001|DYST_HUMAN
TCONS_00000515,sp|Q03001|DYST_HUMAN
TCONS_00000516,sp|Q03001|DYST_HUMAN
TCONS_00000517,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000522,sp|Q03001|DYST_HUMAN
TCONS_00000523,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000526,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000533,sp|Q03001|DYST_HUMAN
TCONS_00000534,sp|Q03001|DYST_HUMAN
TCONS_00000545,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000550,sp|Q03001|DYST_HUMAN
TCONS_00000552,sp|Q03001|DYST_HUMAN
TCONS_00000555,sp|Q03001|DYST_HUMAN
TCONS_00000556,sp|Q03001|DYST_HUMAN
TCONS_00000558,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000563,sp|Q03001|DYST_HUMAN
TCONS_00000565,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000574,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000575,sp|Q03001|DYST_HUMAN
TCONS_00000576,sp|Q03001|DYST_HUMAN
TCONS_00000578,sp|Q03001|DYST_HUMAN
TCONS_00000579,sp|Q03001|DYST_HUMAN
TCONS_00000580,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000584,sp|Q9UPN3|MACF1_HUMAN
TCONS_00000604,sp|O43920|NDUS5_HUMAN
TCONS_00000605,sp|Q6ZMZ0|RN19B_HUMAN
TCONS_00000606,sp|Q6ZMZ0|RN19B_HUMAN
TCONS_00000608,sp|P54819|KAD2_HUMAN
TCONS_00000610,sp|P54819|KAD2_HUMAN
TCONS_00000440,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000441,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000444,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000445,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000447,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000451,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000452,sp|Q6ZS10|CL17A_HUMAN
TCONS_00000453,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000612,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000613,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000614,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000454,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000455,sp|Q9ULY5|CLC4E_HUMAN
TCONS_00000621,sp|P06858|LIPL_HUMAN
TCONS_00000667,sp|P06858|LIPL_HUMAN
TCONS_00000623,sp|P06858|LIPL_HUMAN
TCONS_00000624,sp|P06858|LIPL_HUMAN
TCONS_00000669,sp|O14672|ADA10_HUMAN
TCONS_00000626,sp|P51522|ZNF83_HUMAN
TCONS_00000627,sp|P09493|TPM1_HUMAN
TCONS_00000628,sp|P09493|TPM1_HUMAN
TCONS_00000629,sp|P67936|TPM4_HUMAN
TCONS_00000630,sp|P67936|TPM4_HUMAN
TCONS_00000631,sp|P67936|TPM4_HUMAN
TCONS_00000671,sp|Q71UM5|RS27L_HUMAN
TCONS_00000633,sp|P61006|RAB8A_HUMAN
TCONS_00000635,sp|Q96JZ2|HSH2D_HUMAN
TCONS_00000636,sp|O14907|TX1B3_HUMAN
TCONS_00000638,sp|P43003|EAA1_HUMAN
TCONS_00000640,sp|P43003|EAA1_HUMAN
TCONS_00000675,sp|Q9NR33|DPOE4_HUMAN
TCONS_00000643,sp|Q8IY84|NIM1_HUMAN
TCONS_00000677,sp|O00585|CCL21_HUMAN
TCONS_00000644,sp|P48507|GSH0_HUMAN
TCONS_00000646,sp|Q5QJE6|TDIF2_HUMAN
TCONS_00000678,sp|Q9NWH7|SPAT6_HUMAN
TCONS_00000680,sp|Q5VU57|CBPC6_HUMAN
TCONS_00000682,sp|Q7L4P6|BEND5_HUMAN
TCONS_00000648,sp|P26378|ELAV4_HUMAN
TCONS_00000649,sp|P26378|ELAV4_HUMAN
TCONS_00000650,sp|P26378|ELAV4_HUMAN
TCONS_00000651,sp|P26378|ELAV4_HUMAN
TCONS_00000652,sp|P26378|ELAV4_HUMAN
TCONS_00000655,sp|P26378|ELAV4_HUMAN
TCONS_00000656,sp|P26378|ELAV4_HUMAN
TCONS_00000683,sp|Q96SC8|DMTA2_HUMAN
TCONS_00000684,sp|Q9UNN5|FAF1_HUMAN
TCONS_00000664,sp|P42771|CDN2A_HUMAN
TCONS_00000685,sp|Q9Y3C5|RNF11_HUMAN
TCONS_00000686,sp|Q5SRH9|TT39A_HUMAN
TCONS_00000689,sp|Q5SRH9|TT39A_HUMAN
TCONS_00000691,sp|P42566|EPS15_HUMAN
TCONS_00000692,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000693,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000698,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000699,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000701,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000705,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000707,sp|P42566|EPS15_HUMAN
TCONS_00000708,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000710,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000712,sp|P42566|EPS15_HUMAN
TCONS_00000722,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000723,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000725,sp|Q9UBC2|EP15R_HUMAN
TCONS_00000727,sp|P27797|CALR_HUMAN
TCONS_00000728,sp|P27797|CALR_HUMAN
TCONS_00000730,sp|Q9H497|TOR3A_HUMAN
TCONS_00000735,sp|Q96SU4|OSBL9_HUMAN
TCONS_00000736,sp|Q96SU4|OSBL9_HUMAN
TCONS_00000737,sp|Q96SU4|OSBL9_HUMAN
TCONS_00000741,sp|P42684|ABL2_HUMAN
TCONS_00000745,sp|Q5T5C0|STXB5_HUMAN
TCONS_00000748,sp|O94885|SASH1_HUMAN
TCONS_00000749,sp|O94885|SASH1_HUMAN
TCONS_00000751,sp|O94885|SASH1_HUMAN
TCONS_00000753,sp|O94885|SASH1_HUMAN
TCONS_00000761,sp|O94885|SASH1_HUMAN
TCONS_00000763,sp|O94885|SASH1_HUMAN
TCONS_00000764,sp|O94885|SASH1_HUMAN
TCONS_00000768,sp|O94885|SASH1_HUMAN
TCONS_00000772,sp|Q9Y2C2|UST_HUMAN
TCONS_00000820,sp|Q86VW1|S22AG_HUMAN
TCONS_00000773,sp|Q5JXM2|MET24_HUMAN
TCONS_00000822,sp|O60508|PRP17_HUMAN
TCONS_00000775,sp|Q92558|WASF1_HUMAN
TCONS_00000776,sp|Q92558|WASF1_HUMAN
TCONS_00000777,sp|Q92558|WASF1_HUMAN
TCONS_00000778,sp|Q9P0B6|CC167_HUMAN
TCONS_00000824,sp|P46095|GPR6_HUMAN
TCONS_00000825,sp|Q92562|FIG4_HUMAN
TCONS_00000781,sp|Q5TCS8|KAD9_HUMAN
TCONS_00000783,sp|Q96SB8|SMC6_HUMAN
TCONS_00000784,sp|Q96SB8|SMC6_HUMAN
TCONS_00000785,sp|Q96SB8|SMC6_HUMAN
TCONS_00000787,sp|Q9H7X2|CA115_HUMAN
TCONS_00000788,sp|Q96B42|TMM18_HUMAN
TCONS_00000790,sp|Q6UX46|F150B_HUMAN
TCONS_00000827,sp|P24666|PPAC_HUMAN
TCONS_00000828,sp|P24666|PPAC_HUMAN
TCONS_00000831,sp|P24666|PPAC_HUMAN
TCONS_00000832,sp|P24666|PPAC_HUMAN
TCONS_00000833,sp|P24666|PPAC_HUMAN
TCONS_00000834,sp|P24666|PPAC_HUMAN
TCONS_00000835,sp|P24666|PPAC_HUMAN
TCONS_00000791,sp|Q1W6H9|F110C_HUMAN
TCONS_00000795,sp|Q8TCJ0|FBX25_HUMAN
TCONS_00000796,sp|Q8TCJ0|FBX25_HUMAN
TCONS_00000797,sp|Q8TCJ0|FBX25_HUMAN
TCONS_00000798,sp|Q8TCJ0|FBX25_HUMAN
TCONS_00000836,sp|Q8TCJ0|FBX25_HUMAN
TCONS_00000799,sp|Q8N1G2|CMTR1_HUMAN
TCONS_00000803,sp|Q8N1G2|CMTR1_HUMAN
TCONS_00000804,sp|Q8N1G2|CMTR1_HUMAN
TCONS_00000842,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000848,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000849,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000850,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000851,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000860,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000861,sp|Q5SYE7|NHSL1_HUMAN
TCONS_00000863,sp|Q9H3P7|GCP60_HUMAN
TCONS_00000864,sp|Q9H3P7|GCP60_HUMAN
TCONS_00000808,sp|Q9H2W2|MIXL1_HUMAN
TCONS_00000866,sp|Q5TKA1|LIN9_HUMAN
TCONS_00000809,sp|P09874|PARP1_HUMAN
TCONS_00000867,sp|P09874|PARP1_HUMAN
TCONS_00000810,sp|P29274|AA2AR_HUMAN
TCONS_00000812,sp|P09874|PARP1_HUMAN
TCONS_00000869,sp|P40145|ADCY8_HUMAN
TCONS_00000870,sp|P40145|ADCY8_HUMAN
TCONS_00000814,sp|Q9Y2G0|EFR3B_HUMAN
TCONS_00000815,sp|Q9Y2G0|EFR3B_HUMAN
TCONS_00000878,sp|P01189|COLI_HUMAN
TCONS_00000817,sp|Q15678|PTN14_HUMAN
TCONS_00000818,sp|Q15678|PTN14_HUMAN
TCONS_00000880,sp|Q9NRG4|SMYD2_HUMAN
TCONS_00000885,sp|Q5D1E8|ZC12A_HUMAN
TCONS_00000886,sp|Q5D1E8|ZC12A_HUMAN
TCONS_00000959,sp|Q5VT06|CE350_HUMAN
TCONS_00000977,sp|P32019|I5P2_HUMAN
TCONS_00000891,sp|P32019|I5P2_HUMAN
TCONS_00000892,sp|P32019|I5P2_HUMAN
TCONS_00000893,sp|P32019|I5P2_HUMAN
TCONS_00000894,sp|P32019|I5P2_HUMAN
TCONS_00000895,sp|Q14872|MTF1_HUMAN
TCONS_00000897,sp|Q86U90|YRDC_HUMAN
TCONS_00000960,sp|Q5VSG8|MANEL_HUMAN
TCONS_00000900,sp|Q9H9Z2|LN28A_HUMAN
TCONS_00000901,sp|Q9BV79|MECR_HUMAN
TCONS_00000962,sp|Q92485|ASM3B_HUMAN
TCONS_00000903,sp|P15927|RFA2_HUMAN
TCONS_00000904,sp|P15927|RFA2_HUMAN
TCONS_00000964,sp|Q5TEJ8|THMS2_HUMAN
TCONS_00000906,sp|Q12972|PP1R8_HUMAN
TCONS_00000966,sp|P13584|CP4B1_HUMAN
TCONS_00000907,sp|Q9BUE0|MED18_HUMAN
TCONS_00000908,sp|Q9BUE0|MED18_HUMAN
TCONS_00000911,sp|A8MYZ6|FOXO6_HUMAN
TCONS_00000912,sp|Q96GD3|SCMH1_HUMAN
TCONS_00000922,sp|Q96GD3|SCMH1_HUMAN
TCONS_00000967,sp|Q99967|CITE2_HUMAN
TCONS_00000928,sp|Q14964|RB39A_HUMAN
TCONS_00000930,sp|Q14964|RB39A_HUMAN
TCONS_00000968,sp|Q16514|TAF12_HUMAN
TCONS_00000969,sp|Q16514|TAF12_HUMAN
TCONS_00000970,sp|Q16514|TAF12_HUMAN
TCONS_00000932,sp|Q96RW7|HMCN1_HUMAN
TCONS_00000934,sp|Q96RW7|HMCN1_HUMAN
TCONS_00000939,sp|Q8NFZ8|CADM4_HUMAN
TCONS_00000941,sp|Q8NFZ8|CADM4_HUMAN
TCONS_00000942,sp|Q8NFZ8|CADM4_HUMAN
TCONS_00000945,sp|Q8NFZ8|CADM4_HUMAN
TCONS_00000947,sp|Q8NFZ8|CADM4_HUMAN
TCONS_00000948,sp|P39019|RS19_HUMAN
TCONS_00000949,sp|P43121|MUC18_HUMAN
TCONS_00000950,sp|P43121|MUC18_HUMAN
TCONS_00000951,sp|P43121|MUC18_HUMAN
TCONS_00000953,sp|P43121|MUC18_HUMAN
TCONS_00000956,sp|P43121|MUC18_HUMAN
TCONS_00000973,sp|P07477|TRY1_HUMAN
TCONS_00000974,sp|P02655|APOC2_HUMAN
TCONS_00000988,sp|P62508|ERR3_HUMAN
TCONS_00000990,sp|P62508|ERR3_HUMAN
TCONS_00001000,sp|O75445|USH2A_HUMAN
TCONS_00001001,sp|O75445|USH2A_HUMAN
TCONS_00001003,sp|Q8N328|PGBD3_HUMAN
TCONS_00001028,sp|Q9Y597|KCTD3_HUMAN
TCONS_00001029,sp|Q9Y597|KCTD3_HUMAN
TCONS_00001004,sp|Q9UHY1|NRBP_HUMAN
TCONS_00001005,sp|Q9UHY1|NRBP_HUMAN
TCONS_00001006,sp|Q53RY4|KCP3_HUMAN
TCONS_00001007,sp|Q9NPG1|FZD3_HUMAN
TCONS_00001030,sp|B7ZC32|KIF28_HUMAN
TCONS_00001031,sp|B7ZC32|KIF28_HUMAN
TCONS_00001033,sp|B7ZC32|KIF28_HUMAN
TCONS_00001034,sp|B7ZC32|KIF28_HUMAN
TCONS_00001035,sp|Q8WYP5|ELYS_HUMAN
TCONS_00001036,sp|Q8WYP5|ELYS_HUMAN
TCONS_00001037,sp|Q8WYP5|ELYS_HUMAN
TCONS_00001038,sp|Q8WYP5|ELYS_HUMAN
TCONS_00001040,sp|Q2TAK8|MUM1_HUMAN
TCONS_00001041,sp|Q2TAK8|MUM1_HUMAN
TCONS_00001042,sp|Q2TAK8|MUM1_HUMAN
TCONS_00001043,sp|Q2TAK8|MUM1_HUMAN
TCONS_00001014,sp|Q2KJY2|KI26B_HUMAN
TCONS_00001045,sp|Q13393|PLD1_HUMAN
TCONS_00001046,sp|Q13393|PLD1_HUMAN
TCONS_00001047,sp|Q13393|PLD1_HUMAN
TCONS_00001048,sp|Q13393|PLD1_HUMAN
TCONS_00001049,sp|Q13393|PLD1_HUMAN
TCONS_00001050,sp|Q13393|PLD1_HUMAN
TCONS_00001015,sp|Q92847|GHSR_HUMAN
TCONS_00001056,sp|Q53EP0|FND3B_HUMAN
TCONS_00001057,sp|Q53EP0|FND3B_HUMAN
TCONS_00001069,sp|Q53EP0|FND3B_HUMAN
TCONS_00001070,sp|Q06190|P2R3A_HUMAN
TCONS_00001072,sp|Q06190|P2R3A_HUMAN
TCONS_00001016,sp|Q6PIU2|NCEH1_HUMAN
TCONS_00001017,sp|Q6PIU2|NCEH1_HUMAN
TCONS_00001018,sp|P50591|TNF10_HUMAN
TCONS_00001073,sp|Q9HCI7|MSL2_HUMAN
TCONS_00001020,sp|P05166|PCCB_HUMAN
TCONS_00001075,sp|Q8WVM7|STAG1_HUMAN
TCONS_00001021,sp|Q8TBE7|S35G2_HUMAN
TCONS_00001076,sp|P26022|PTX3_HUMAN
TCONS_00001077,sp|Q9Y371|SHLB1_HUMAN
TCONS_00001079,sp|Q13535|ATR_HUMAN
TCONS_00001081,sp|Q13535|ATR_HUMAN
TCONS_00001083,sp|Q14651|PLSI_HUMAN
TCONS_00001084,sp|Q14651|PLSI_HUMAN
TCONS_00001023,sp|P46976|GLYG_HUMAN
TCONS_00001086,sp|Q14527|HLTF_HUMAN
